OBJECTID,Parcel_AGAPPID_csv_AGAPPL,DISSOLVE_landuse_parcel_union_LAND_USE,SUM_SUM_DISSOLVE_landuse_parcel_union_SUM_ACREAGE,Shape_Length,Shape_Area
101,4,Conservation Practice 25%,1.506,6823.99021,65589.14778
102,6,Conservation Practice 25%,3.407,18796.12741,148427.5721
103,13,Conservation Practice 25%,1.327,4273.232543,57812.87091
104,17,Conservation Practice 25%,0.565,975.9075919,24620.00636
105,18,Conservation Practice 25%,1.372,4838.908976,59776.63368
106,19,Conservation Practice 25%,6.541,17794.57905,284913.0632
107,32,Conservation Practice 25%,0.164,472.4799148,7163.85741
108,48,Conservation Practice 25%,4.072,9435.273055,177379.5425
109,54,Conservation Practice 25%,1.853,6762.113538,80730.94677
110,61,Conservation Practice 25%,0.976,3516.783375,42500.92691
111,69,Conservation Practice 25%,0.326,1721.12383,14182.68103
112,72,Conservation Practice 25%,3.435,15178.72227,149647.0121
113,73,Conservation Practice 25%,0.118,2254.564485,5136.445639
114,77,Conservation Practice 25%,0.371,1462.726599,16151.84688
115,90,Conservation Practice 25%,0.982,3791.195787,42780.09071
116,94,Conservation Practice 25%,6.24,9210.12928,271831.9925
117,109,Conservation Practice 25%,2.202,7747.629401,95937.5133
118,112,Conservation Practice 25%,1.03,930.2663893,44866.78057
119,118,Conservation Practice 25%,1.532,3957.544496,66740.15703
120,128,Conservation Practice 25%,0.116,908.8129805,5056.800352
121,133,Conservation Practice 25%,2.19,5791.053267,95416.01415
122,136,Conservation Practice 25%,2.626,4749.879201,114368.4103
123,146,Conservation Practice 25%,0.486,1677.450262,21175.8792
124,170,Conservation Practice 25%,1.746,6162.719964,76043.83895
125,199,Conservation Practice 25%,0.354,1255.1698,15430.50323
126,229,Conservation Practice 25%,0.157,443.326109,6825.098067
127,230,Conservation Practice 25%,14.113,5931.934465,614775.1383
128,237,Conservation Practice 25%,0.52,1400.496696,22657.87009
129,262,Conservation Practice 25%,0.778,2052.544469,33902.90094
130,296,Conservation Practice 25%,7.214,17254.7034,314223.1371
131,304,Conservation Practice 25%,0.729,1908.906812,31752.88705
132,305,Conservation Practice 25%,1.377,5372.361127,59973.23702
133,307,Conservation Practice 25%,0.819,2664.951178,35656.89305
134,312,Conservation Practice 25%,1.95,7582.671,84928.90563
135,313,Conservation Practice 25%,1.385,3271.488805,60324.02976
