OBJECTID,Parcel_AGAPPID_csv_AGAPPL,DISSOLVE_landuse_parcel_union_LAND_USE,SUM_SUM_DISSOLVE_landuse_parcel_union_SUM_ACREAGE,Shape_Length,Shape_Area
440,6,Conservation Program Designated,29.87,21575.30999,1301143.581
441,13,Conservation Program Designated,20.052,30102.02586,873465.9171
442,17,Conservation Program Designated,20.33,9606.991137,885575.3644
443,18,Conservation Program Designated,5.2,6019.064308,226512.5465
444,19,Conservation Program Designated,55.99,48811.22423,2438927.723
445,22,Conservation Program Designated,3.87,9138.300418,168579.6472
446,26,Conservation Program Designated,26.78,24165.67655,1166541.8
447,32,Conservation Program Designated,1.91,4139.179876,83207.03179
448,48,Conservation Program Designated,21.331,16458.49344,929157.9643
449,52,Conservation Program Designated,45.97,16894.45485,2002452.677
450,61,Conservation Program Designated,8.4,23006.86657,365913.1387
451,69,Conservation Program Designated,1.2,3018.08643,52271.39109
452,73,Conservation Program Designated,0.85,1090.683994,37025.96502
453,77,Conservation Program Designated,25.199,18257.21619,1097681.252
454,78,Conservation Program Designated,7.07,4810.420495,307969.5034
455,80,Conservation Program Designated,5.1,6909.066081,222155.1139
456,94,Conservation Program Designated,13.16,12773.89664,573247.1831
457,97,Conservation Program Designated,9.568,26123.09503,416791.5972
458,98,Conservation Program Designated,1.43,3948.752329,62290.88934
459,99,Conservation Program Designated,4.599,5142.655955,200332.8608
460,112,Conservation Program Designated,2.75,3689.438527,119790.205
461,113,Conservation Program Designated,7.451,4415.215798,324557.4128
462,118,Conservation Program Designated,8.73,4328.719284,380279.0365
463,127,Conservation Program Designated,1.6,2517.345569,69695.8011
464,128,Conservation Program Designated,18.342,14326.54199,798990.5019
465,133,Conservation Program Designated,0.43,1131.914269,18730.81675
466,136,Conservation Program Designated,4.95,5064.494421,215621.9598
467,137,Conservation Program Designated,16.111,13572.53953,701792.3587
468,138,Conservation Program Designated,8.71,10876.34346,379408.3482
469,142,Conservation Program Designated,0.004,798.1605563,176.9581718
470,146,Conservation Program Designated,2.5,2542.277498,108899.9495
471,170,Conservation Program Designated,0.5,1984.571636,21779.8918
472,171,Conservation Program Designated,9.7,16321.3019,422523.281
473,176,Conservation Program Designated,4.28,4200.54548,186436.9018
474,194,Conservation Program Designated,2.1,5574.865655,91476.32079
475,199,Conservation Program Designated,3.17,7877.09473,138087.3042
476,203,Conservation Program Designated,1.81,3678.632854,78846.6338
477,216,Conservation Program Designated,4.7,13195.11908,204730.4392
478,219,Conservation Program Designated,3.602,6723.561533,156917.5025
479,220,Conservation Program Designated,3.31,6485.506945,144185.3011
480,229,Conservation Program Designated,3.45,5737.048977,150284.6333
481,230,Conservation Program Designated,70.067,15321.29651,3052086.588
482,231,Conservation Program Designated,14.82,10289.88036,645559.5912
483,237,Conservation Program Designated,1.15,2939.785979,50105.85736
484,245,Conservation Program Designated,2.1,5881.628851,91473.11794
485,249,Conservation Program Designated,0.43,895.5546308,18730.40502
486,250,Conservation Program Designated,12.77,16104.45666,556265.1182
487,262,Conservation Program Designated,2.38,4952.615478,103672.9973
488,266,Conservation Program Designated,19,6762.865663,827639.8071
489,276,Conservation Program Designated,15.562,12812.60205,677870.4708
490,279,Conservation Program Designated,0.6,2524.278203,26138.68569
491,287,Conservation Program Designated,6.078,10963.76441,264745.3142
492,292,Conservation Program Designated,6.72,15838.42494,292724.5732
493,296,Conservation Program Designated,9.3,11513.40054,405111.4514
494,297,Conservation Program Designated,32.74,14765.9608,1426159.827
495,304,Conservation Program Designated,0.92,3011.712097,40077.21936
496,309,Conservation Program Designated,4.6,3860.553014,200375.9234
497,312,Conservation Program Designated,16.5,8712.766181,718740.0379
498,313,Conservation Program Designated,7.5,9453.387649,326698.6754
499,314,Conservation Program Designated,4.3,6851.833551,187311.3104
500,318,Conservation Program Designated,7.72,11866.67979,336285.7093
501,319,Conservation Program Designated,5.19,15431.60051,226079.5881
502,320,Conservation Program Designated,2.67,4780.064401,116283.0703
503,322,Conservation Program Designated,0.51,1276.326048,22215.58727
504,325,Conservation Program Designated,0.82,3573.549582,35718.93571
505,331,Conservation Program Designated,1.14,1628.628111,49656.36095
506,332,Conservation Program Designated,79.91,24007.82933,3480882.219
507,335,Conservation Program Designated,5.96,12103.10204,259620.0744
508,347,Conservation Program Designated,2.11,8907.849538,91915.78434
509,355,Conservation Program Designated,2.25,4544.585836,98012.67503
510,359,Conservation Program Designated,3.53,9719.945803,153768.6674
511,363,Conservation Program Designated,14.7,9143.64172,640332.1174
512,367,Conservation Program Designated,15.56,5386.431698,677784.6119
513,372,Conservation Program Designated,12.48,9720.083472,543642.9506
514,377,Conservation Program Designated,1.761,3830.212029,76726.78724
515,381,Conservation Program Designated,3.3,7450.576782,143747.3041
516,389,Conservation Program Designated,10.46,5003.884468,455635.8982
517,391,Conservation Program Designated,3.42,7404.167272,148973.3402
518,394,Conservation Program Designated,0.7,2019.859008,30492.00189
519,397,Conservation Program Designated,10.62,8059.502655,462609.6977
520,399,Conservation Program Designated,4.39,7753.967421,191233.9683
521,408,Conservation Program Designated,11.37,3410.642133,495277.2446
522,413,Conservation Program Designated,10.88,12503.90647,473930.1993
523,418,Conservation Program Designated,23.18,8817.08523,1009725.097
524,421,Conservation Program Designated,6.23,13036.40385,271379.8027
525,424,Conservation Program Designated,7.28,19682.92167,317125.4955
526,429,Conservation Program Designated,0.84,1983.938053,36593.23155
527,441,Conservation Program Designated,4.7,7057.040062,204733.6559
528,443,Conservation Program Designated,0.7,2022.363732,30491.98549
529,446,Conservation Program Designated,3.08,8682.621765,134148.5705
530,456,Conservation Program Designated,1.5,4026.254981,65340.03619
531,460,Conservation Program Designated,1.84,6522.56322,80162.66898
532,462,Conservation Program Designated,5.68,12016.59369,247427.4222
533,465,Conservation Program Designated,4.77,4260.890444,207781.5303
534,476,Conservation Program Designated,0.7,855.2921944,30491.99622
535,477,Conservation Program Designated,1.87,4180.735523,81437.95415
536,478,Conservation Program Designated,12.031,5643.933185,524057.7736
537,485,Conservation Program Designated,3.3,4184.403136,143752.9441
538,486,Conservation Program Designated,0.2,568.7846014,8712.766012
539,498,Conservation Program Designated,0,948.6401927,12.08351718
540,512,Conservation Program Designated,1.48,4142.486375,64472.05977
541,518,Conservation Program Designated,34.6,8564.569351,1507178.185
542,519,Conservation Program Designated,5.49,11167.9207,239146.9638
543,521,Conservation Program Designated,16.091,32627.55282,700905.5722
544,525,Conservation Program Designated,0.96,2468.771818,41817.56197
545,527,Conservation Program Designated,14.3,10432.70549,622910.8237
546,528,Conservation Program Designated,4.4,7503.736471,191681.5415
547,530,Conservation Program Designated,1.93,2636.749417,84071.31852
548,532,Conservation Program Designated,3.31,5235.068433,144184.0315
549,537,Conservation Program Designated,0.931,4224.427514,40540.02503
550,539,Conservation Program Designated,3,2889.444755,130680.8982
551,543,Conservation Program Designated,7.6,2322.443952,331051.5269
552,547,Conservation Program Designated,18.1,8699.384653,788437.4757
553,552,Conservation Program Designated,2.001,4589.722443,87152.90618
554,553,Conservation Program Designated,8.301,16968.71256,361594.7206
555,565,Conservation Program Designated,6.66,6027.723119,290110.3367
556,568,Conservation Program Designated,3.62,3247.679826,157690.6211
557,569,Conservation Program Designated,19.3,4842.651807,840720.0497
558,575,Conservation Program Designated,4.3,11810.63651,187313.235
559,576,Conservation Program Designated,1.13,1562.242355,49222.67632
560,578,Conservation Program Designated,28.555,23827.59002,1243846.352
561,590,Conservation Program Designated,45.18,26652.86324,1968041.782
562,594,Conservation Program Designated,9.99,11553.68885,435164.6383
