APP_NUM,NEVER_FILED,DEED,STATED,CON25,CRP,HOMESITE,INCOME,CLEANED,
1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,x,Adjusted Homesite to our records
2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
5,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,x,Adjusted Homesite to our records
6,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,,
7,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,x,Our database was incorrect
8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,
9,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,,
10,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
11,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
12,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
13,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,x,Adjusted CON25 to our records
14,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,,
15,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
16,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,,
17,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,,
18,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,x,Adjusted CON25 to our records
19,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,x,Adjusted Homesite and CON25 to our records
20,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,x,our database was incorrect
21,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
22,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
23,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,,Parcel has been 99999999 out
24,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
25,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,,
26,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,x,Adjusted CRP to our records
27,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,Parcel has been 99999999 out
28,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
29,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
30,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,x,Adjusted HOMESITE to our records
31,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
32,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
33,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,,
34,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,x,Adjusted HOMESITE to our records
35,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
36,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
37,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,x,Adjusted HOMESITE to our records
38,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
39,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
40,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,x,Adjusted HOMESITE to our records
41,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
42,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,,
43,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,x,Adjusted HOMESITE to our records
44,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
45,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
46,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,x,Adjusted HOMESITE to our records
47,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
48,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,x,"Adjusted HOMESIT, CON25, and CRP to our records"
49,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
50,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
51,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
52,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
53,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,
54,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
55,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
56,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,
57,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
58,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
59,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
60,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,
61,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
62,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,,
63,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
64,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
65,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,
66,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,,
67,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,,
68,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
69,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,
70,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
71,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
72,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,
73,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,,
74,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
75,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,,
76,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
77,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,,
78,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,,
79,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,
80,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
81,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
82,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,,
83,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
84,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,,
85,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
86,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
87,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,
88,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,
89,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
90,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,,
91,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
92,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
93,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,,
94,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,,
95,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,
96,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
97,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,
98,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,
99,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,,
100,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,
101,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
102,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
103,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,,
104,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,
105,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
106,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
107,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
108,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
109,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
110,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
111,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,,
112,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
113,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
114,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
115,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
116,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
117,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
118,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,,
119,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,
120,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
121,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,
122,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,
123,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
124,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
125,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,,
126,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
127,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
