AG_APP,TOTAL PARCEL ACRES,TOTAL AGLAND ACRES,Commodity_Acres,Hay_Acres,Perm_Pasture_Acres,Noncommercial_Wood_Acres,Commerical_Wood_Acres,Other_Crop_Acres,Homesite_Acres,Road_Waste_Pond_Acres,CRP_Acres,Con25_Acres,Other_Use_Acres,Stated_Total_Acres,Gross_Income_1,Gross_Income_2,Gross_Income_3,NOTE
1,679.789,679.789,678.789,0,0,0,0,0,1,0,0,0,0,679.789,0,0,0,[]
2,15,15,6.25,0,0,7.75,0,0,1,0,0,0,0,15,2876,0,0,[]
3,30,30,23,0,0,6,0,0,1,0,0,0,0,30,0,0,0,[]
4,80,80,72.312,0,0,0,0,0,1,5.182,0,1.506,0,80,0,0,0,[]
5,79.92,79.92,34,0,0,10,0,0,1,34.9,0,0,0,79.9,0,0,0,[]
6,1061.6,1061.6,863.255,0,0,137.798,0,0,0,29.549,27.591,3.407,0,1061.6,0,0,0,[]
7,40,40,40,0,0,0,0,0,0,0,0,0,0,40,0,0,0,[]
8,11.433,11.433,3.5,3.5,0,3,0,0.43,1,0,0,0,0,0,0,0,0,[]
9,11.001,11.001,10.862,0,0,0.023,0,0,0,0.116,0,0,0,0,0,0,0,[]
10,173.42,173.42,161.2,0,0,9.4,0,0,0,2.82,0,0,0,173.42,0,0,0,[]
11,43.378,43.124,35,0,0,6.378,0,0,1,1,0,0,0,43.378,0,0,0,[]
13,442.042,442.042,360.711,0,0,42.083,0,0,0,17.87,20.05,1.328,0,442.042,0,0,0,[]
14,40,40,27.902,0,0,8.426,0,0,1,2.672,0,0,0,0,0,0,0,[]
15,68.128,68.128,44.567,0,0,20.252,0,0,0,3.309,0,0,0,68.128,0,0,0,[]
16,29.629,29.629,0.769,0,0,25.099,0,0,0,3.761,0,0,0,0,0,0,0,[]
17,340.78,340.78,297.877,0,0,11.11,0,0,2,8.898,20.33,0.565,0,0,0,0,0,[]
18,59.337,59.337,48.423,0,0,1.364,0,0,0,2.978,5.2,1.372,0,59.337,0,0,0,[]
19,777.644,777.644,646.604,3.61,0,41.133,0,0,1,22.769,55.99,6.538,0,777.644,0,0,0,[]
20,14.229,14.229,14.27,0,0,0,0,0,0,0,0,0,0,14.27,0,0,0,[]
21,198.15,198.15,173.52,0,0,18.66,0,0,2,3.97,0,0,0,198.15,0,0,0,[]
22,388.956,388.956,350.24,0,0,30.236,0,0,0,4.61,3.87,0,0,388.956,0,0,0,[]
24,11.499,11.499,11.019,0,0,0.242,0,0,0,0.238,0,0,0,11.4999,0,0,0,[]
25,35.378,35.378,13.457,0,0,17.678,0,0,1,3.243,0,0,0,0,0,0,0,[]
26,168.301,168.301,131.501,0,0,0,0,0,0,10.02,26.78,0,0,168.301,0,0,0,[]
28,70.033,70.033,67.563,0,0,0,0,0,1,1.47,0,0,0,70.033,0,0,0,[]
29,153.62,153.62,124,0,0,26.62,0,0,0,3,0,0,0,153.62,0,0,0,[]
30,18,18,14,0,0,0,0,0,1,3,0,0,0,18,0,0,0,[]
31,34.789,34.789,31,0,0,2.5,0,0,0,1.289,0,0,0,34.789,0,0,0,[]
32,254.241,254.241,238.866,0,0,4.973,0,0,1,7.328,1.91,0.164,0,254.23,0,0,0,[]
33,57.429,57.429,43.064,0,0,3.295,0,0,0,1.651,8.98,0.439,0,0,0,0,0,[]
34,15.613,15.613,12,0,0,0,0,0,1,2.613,0,0,0,15.613,0,0,0,[]
35,73.803,73.803,25,37,0,11.803,0,0,0,0,0,0,0,73.803,0,0,0,[]
36,190.612,190.612,151,0,0,32.9,0,0,0,6.712,0,0,0,190.612,0,0,0,[]
37,35.505,35.505,0,0,0,0,30,0,1,4.505,0,0,0,35.505,0,0,0,[]
38,26.297,26.297,26.297,0,0,0,0,0,0,0,0,0,0,26.297,0,0,0,[]
39,39,39,39,0,0,0,0,0,0,0,0,0,0,39,0,0,0,[]
40,98.04,98.04,82.01,0,0,13.24,0,0,1,1.79,0,0,0,98.04,0,0,0,[]
41,51.635,51.635,35,0,0,12.32,0,0,0,4.315,0,0,0,51.635,0,0,0,[]
42,10,10,8.645,0,0,0,0,0,1,0.355,0,0,0,0,0,0,0,[]
43,2.894,2.894,0,0,1.125,0,0,0,0.999,0.77,0,0,0,2.894,70000,0,0,[]
44,76.098,76.098,76.098,0,0,0,0,0,0,0,0,0,0,76.098,0,0,0,[]
45,756.293,756.293,677.663,0,0,46.664,0,0,1,30.966,0,0,0,756.293,0,0,0,[]
46,59.92,59.92,53.6,0,0,2.09,0,0,1,3.23,0,0,0,59.92,0,0,0,[]
