PARID,AGAPPL,TOTAL ACRES,USE,USE ACRES
"A01000000080100","1753","35.018","ROW","0.241"
"A01000000080100","1753","35.018","CROP","4.587"
"A01000000080100","1753","35.018","CROP","4.659"
"A01000000080100","1753","35.018","CROP","5.115"
"A01000000080100","1753","35.018","DTCH","2.098"
"A01000000080100","1753","35.018","HOME","1"
"A01000000080100","1753","35.018","WOOD","0.284"
"A01000000080100","1753","35.018","WOOD","4.778"
"A01000000080100","1753","35.018","WOOD","4.855"
"A01000000080100","1753","35.018","WOOD","6.989"
"A01000000080100","1753","35.018","CON25","0.171"
"A01000000080100","1753","35.018","CON25","0.241"
"A01000000120000","2142","31.333","ROW","0.497"
"A01000000120000","2142","31.333","CROP","0.011"
"A01000000120000","2142","31.333","CROP","13.426"
"A01000000120000","2142","31.333","DTCH","2.385"
"A01000000120000","2142","31.333","HOME","1"
"A01000000120000","2142","31.333","WOOD","1.119"
"A01000000120000","2142","31.333","WOOD","12.895"
"A01000000120100","716","8.401","ROW","0.068"
"A01000000120100","716","8.401","CROP","0.527"
"A01000000120100","716","8.401","CROP","0.793"
"A01000000120100","716","8.401","CROP","1.251"
"A01000000120100","716","8.401","DTCH","0.687"
"A01000000120100","716","8.401","WOOD","0.078"
"A01000000120100","716","8.401","WOOD","2.013"
"A01000000120100","716","8.401","WOOD","2.984"
"A01000000120200","2142","35.724","ROW","0.09"
"A01000000120200","2142","35.724","CROP","2.504"
"A01000000120200","2142","35.724","CROP","5.898"
"A01000000120200","2142","35.724","CROP","16.685"
"A01000000120200","2142","35.724","DTCH","1.176"
"A01000000120200","2142","35.724","WOOD","0.024"
"A01000000120200","2142","35.724","WOOD","2.429"
"A01000000120200","2142","35.724","WOOD","6.918"
"A01000000160000","2877","38.105","ROW","0.245"
"A01000000160000","2877","38.105","CROP","0.055"
"A01000000160000","2877","38.105","CROP","17.06"
"A01000000160000","2877","38.105","CROP","2.576"
"A01000000160000","2877","38.105","CROP","15.458"
"A01000000160000","2877","38.105","DTCH","0.018"
"A01000000160000","2877","38.105","WOOD","0.053"
"A01000000160000","2877","38.105","WOOD","0.127"
"A01000000160000","2877","38.105","WOOD","0.224"
"A01000000160000","2877","38.105","WOOD","0.783"
"A01000000160000","2877","38.105","WOOD","1.506"
"A01000000200000","433","79","ROW","1.736"
"A01000000200000","433","79","CROP","3.737"
