AGAPPL,Commodity_Crop_ACRE,Hay_ACRE,Permanent_Pasture_ACRE,Noncommercial_Woodland_ACRE,Commercial_Timber_ACRE,Other_Crops_ACRE,Homesite_ACRE,Road_Waste_Pond_ACRE,CRP_ACRE,Conservation_Practices_ACRE,Other_Use_ACRE,STATED_TOTAL_ACRES,GROSS_INCOME,GROSS_INCOME_2,GROSS_INCOME_3
1,678.789,0,0,0,0,0,1,0,0,0,0,679.789,0,0,0
2,6.25,0,0,7.75,0,0,1,0,0,0,0,15,2876,0,0
3,23,0,0,6,0,0,1,0,0,0,0,30,0,0,0
4,73.94,0,0,0,0,0,1.22,4.23,0,0.61,0,80,0,0,0
5,34,0,0,10,0,0,1,34.9,0,0,0,79.9,0,0,0
6,862.28,0,0,106.339,0,0,0,60.951,32.03,0,0,1061.6,0,0,0
7,40,0,0,0,0,0,0,0,0,0,0,40,0,0,0
8,3.5,3.5,0,3,0,0.43,1,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,161.2,0,0,9.4,0,0,0,2.82,0,0,0,173.42,0,0,0
11,35,0,0,6.378,0,0,1,1,0,0,0,43.378,0,0,0
13,364.03,0,0,46.52,0,0,0,10.122,20.05,1.32,0,442.042,0,0,0
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,44.567,0,0,20.252,0,0,0,3.309,0,0,0,68.128,0,0,0
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,49.1,0,0,0,0,0,0,3.667,5.2,1.37,0,59.337,0,0,0
19,637.505,3.61,0,44.162,0,0,1,28.837,55.99,6.54,0,777.644,0,0,0
20,14.27,0,0,0,0,0,0,0,0,0,0,14.27,0,0,0
21,173.52,0,0,18.66,0,0,2,3.97,0,0,0,198.15,0,0,0
22,351.74,0,0,26.46,0,0,0,6.876,3.88,0,0,388.956,0,0,0
23,40,0,0,5.389,0,0,0,12.332,0,0,0,57.721,0,0,0
24,11.019,0,0,0.242,0,0,0,0.238,0,0,0,11.4999,0,0,0
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,131.501,0,0,0,0,0,0,10.02,26.78,0,0,168.301,0,0,0
27,75,0,0,0,0,0,1.1,1.86,0,0,0,77.96,0,0,0
28,67.563,0,0,0,0,0,1,1.47,0,0,0,70.033,0,0,0
29,124,0,0,26.62,0,0,0,3,0,0,0,153.62,0,0,0
30,14,0,0,0,0,0,1,3,0,0,0,18,0,0,0
31,31,0,0,2.5,0,0,0,1.289,0,0,0,34.789,0,0,0
32,238.227,0,0,2.216,0,0,1,10.85,1.94,0,0,254.23,0,0,0
33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,12,0,0,0,0,0,1,2.613,0,0,0,15.613,0,0,0
35,25,37,0,11.803,0,0,0,0,0,0,0,73.803,0,0,0
36,151,0,0,32.9,0,0,0,6.712,0,0,0,190.612,0,0,0
37,0,0,0,0,30,0,1,4.505,0,0,0,35.505,0,0,0
38,26.297,0,0,0,0,0,0,0,0,0,0,26.297,0,0,0
39,39,0,0,0,0,0,0,0,0,0,0,39,0,0,0
40,82.01,0,0,13.24,0,0,1,1.79,0,0,0,98.04,0,0,0
41,35,0,0,12.32,0,0,0,4.315,0,0,0,51.635,0,0,0
42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,0,0,1.894,0,0,0,1,0,0,0,0,2.894,70000,0,0
44,76.098,0,0,0,0,0,0,0,0,0,0,76.098,0,0,0
45,677.663,0,0,46.664,0,0,1,30.966,0,0,0,756.293,0,0,0
46,53.6,0,0,2.09,0,0,1,3.23,0,0,0,59.92,0,0,0
48,410,0,0,38.28,0,0,1,2.714,21.33,4.07,0,477.394,0,0,0
49,96,0,0,0,0,0,0,1.88,0,0,0,97.88,0,0,0
50,304.918,0,0,18.3,0,0,2,3.5,0,0,0,328.718,0,0,0
52,41.87,0,0,6.62,0,0,0,5.2,45.97,0,0,99.66,0,0,0
53,408,4,0,52,0,0,5,13.1,0,0,0,482.1,0,0,0
54,38.747,0,0,0.675,0,0,0,0.578,0,0,0,117.37,0,0,0
55,0,33,0,8.575,0,0,1,3.995,0,0,0,46.57,0,0,0
56,222.75,4,0,5.7,0,0,3.5,4.65,0,0,0,240.6,0,0,0
57,155.42,0,0,0,0,0,0,2.282,0,0,0,0,0,0,0
58,29.803,0,0,7.168,0,0,2,4.654,0,0,0,43.625,0,0,0
59,184.308,0,1,21.332,0,0,1,12.36,0,0,0,0,0,0,0
60,53.708,0,0,0,0,0,1,2.494,0,0,0,57.202,0,0,0
61,370.877,0,0,41.204,0,0,2,14.979,8.4,0.976,0,438.43,0,0,0
62,0,0,0,0,0,0,0,0,0,0,0,14.987,0,0,0
63,73.75,0,0,46.25,0,0,0,0,0,0,0,120,0,0,0
64,7.5,0,0,0,0,0,0,1.947,0,0,0,9.447,3440,0,0
65,9.101,0,0,0,0,0,1,1.905,0,0,0,0,4000,0,0
66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,228.929,0,0,40.283,0,0,0,3.246,0,0,0,272.458,0,0,0
69,101,12,22,20,0,0,0,1.714,0,0,0,156.714,0,0,0
70,341.867,6,0,0,1.79,0,1,0,0,0,0,356.26,0,0,0
71,0,6.081,0,0,0,0,0,0,0,0,0,0,4056,0,0
72,86.4,0,0,0,0,0,0,5.284,0,7.2,0,98.884,0,0,0
73,137,0,0,16.99,0,0,1.02,0,4.73,0,0,159.74,0,0,0
74,71.92,0,0,0,0,0,0,0,0,0,0,71.92,0,0,0
75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,288.519,0,0,38.15,0,0,1,17.452,0,0,0,345.121,0,0,0
77,121.63,0,0,8.87,0,0,0,0,25.19,1.76,0,157.45,0,0,0
78,190.533,0,0,7.657,0,0,0,8.45,7.07,0,0,196.67,0,0,0
79,140.568,0,0,10.174,0,0,1,3.311,0,0,0,155,0,0,0
80,31.391,0,0,10.261,0,0,0,0,5.1,0,0,46.752,0,0,0
81,36.548,0,0,1.3,0,0,0,0.5,0,0,0,38.348,0,0,0
82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,90.069,0,0,0,0,0,0,0,0,0,0,90.069,0,0,0
86,169.542,0,0,0.43,0,0,0,6.858,0,0,0,176.83,0,0,0
87,138.093,0,0,0,0,0,0,3.239,3.99,0,0,145.322,0,0,0
88,36.765,0,0,0,0,0,1,1.235,0,0,0,0,0,0,0
89,61.01,0,0,0,0,0,0,0,0,0,0,61.01,0,0,0
90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,17.6,0,0,31.218,0,0,1,0.25,0,0,0,0,0,0,0
93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,562.15,0,31.23,22.852,0,0,1,19.958,13.161,3.042,0,653.393,0,0,0
95,164.5,0,0,27.5,0,0,3,5,0,0,0,200,0,0,0
96,26.34,0,0,0,0,0,0,1.355,0,0,0,27.695,0,0,0
97,379.599,0,0,5.286,0,0,1,25.448,9.6,0,0,420.933,0,0,0
98,73.07,0,0,0,0,0,3.81,1.69,1.43,0,0,80,0,0,0
99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,1.09,0,0,16.76,0,0,1,7.605,0,0,0,26.455,0,0,0
102,8.42,0,0,0,0,0,0,0,0,0,0,0,5052,0,0
103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,3.6,0,0,8.809,0,0,1,0,0,0,0,0,0,0,0
105,15.3,0,0,20,0,0,1,1,0,0,0,37.3,0,0,0
107,0,0,0,0,26.927,0,1,0,0,0,0,27.927,0,0,0
109,110.835,0,0,27.5,0,0,1,3.74,0,2.89,0,145.965,0,0,0
110,94.8,0,0,0,0,0,1,2.505,0,0,0,98.305,0,0,0
111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,88.47,0,0,14.37,0,0,0,2.28,2.75,1.03,0,108.9,0,0,0
113,59.89,0,10.9,16.97,0,0,0,0,7.7,0,0,0,0,0,0
114,92,0,0,25.37,0,0,0,0,0,0,0,117.37,0,0,0
116,205.8,0,0,81.07,0,0,0,0,0,0,0,286.87,0,0,0
117,0,144.138,0,0,0,0,0,4.702,0,0,0,148.84,0,0,0
118,265.772,8,6,16.225,0,0,0,11.32,8.73,1.532,0,317.5,0,0,0
119,109.36,0,6,0,0,0,4.64,0,0,0,0,0,0,0,0
120,42.955,0,0,7.42,0,0,0,1.995,0,0,0,52.37,0,0,0
121,17.787,0,0,0,0,0,3,1.9,0,0,0,22.687,0,0,0
122,94.35,0,0,17,0,0,2.84,2.65,0,0,0,116.84,0,0,0
