AG APP,PARCEL TOTAL (ACRES),AG LAND TOTAL (ACRES)
11,43.378,43.124
53,479.475,482.105
68,273.82,272.458
86,176.83,176.782
92,50.436,50.068
128,150.0,149.988
230,228.861,229.142
279,160.0,159.989
296,306.864,306.842
297,186.707,186.399
329,17.218,17.737
356,283.421,283.373
434,62.06,61.965
462,268.053,268.063
521,495.605,495.604
529,245.575,245.568
615,44.901,44.9
664,359.86,359.507
734,25.026,25.022
807,137.12,136.887
830,341.757,341.758
849,60.0,59.999
898,113.563,112.36
922,20.153,19.94
940,518.396,518.403
950,77.214,77.174
1120,40.0,34.814
1130,138.289,133.224
1137,77.28,70.437
1170,348.952,364.647
1172,89.451,91.239
1176,269.586,269.15
1205,273.592,273.59
1284,78.0,77.999
1305,121.662,99.188
1308,210.55,193.002
1321,113.414,118.414
1400,66.463,66.609
1420,127.336,127.33
1442,16.12,13.519
1470,91.969,91.968
1562,223.868,223.867
1646,935.7,935.709
1756,295.659,295.656
1831,446.327,443.327
1872,245.847,244.847
1889,44.127,44.125
1990,76.015,75.897
2028,238.826,238.825
2123,320.07,318.842
2140,155.571,155.791
2175,393.0,371.5
2218,99.187,99.997
2265,522.368,530.28
2340,322.985,323.299
2414,143.949,141.492
2626,160.0,157.465
2664,17.007,17.004
2683,124.6,124.326
2990,88.874,88.871
3154,157.597,154.727
3160,231.023,225.043
3164,111.091,111.394
3167,79.752,79.748
3172,81.835,83.038'
