AG_APP,TOTAL PARCEL ACRES,TOTAL AGLAND ACRES,Commodity_Acres,Hay_Acres,Perm_Pasture_Acres,Noncommercial_Wood_Acres,Commerical_Wood_Acres,Other_Crop_Acres,Homesite_Acres,Road_Waste_Pond_Acres,CRP_Acres,Con25_Acres,Other_Use_Acres,Stated_Total_Acres,Gross_Income_1,Gross_Income_2,Gross_Income_3,NOTE
23,0,0,40,0,0,5.389,0,0,0,12.332,0,0,0,57.721,0,0,0,"['GROSS INCOME DOES NOT MEET $2500', 'CALCULATED DOES NOT EQUAL DEED']"
27,0,0,75,0,0,0,0,0,1.1,1.86,0,0,0,77.96,0,0,0,"['GROSS INCOME DOES NOT MEET $2500', 'CALCULATED DOES NOT EQUAL DEED']"
100,0,0,1.09,0,0,16.76,0,0,1,7.605,0,0,0,26.455,0,0,0,"['GROSS INCOME DOES NOT MEET $2500', 'CALCULATED DOES NOT EQUAL DEED']"
104,0,0,3.6,0,0,8.809,0,0,1,0,0,0,0,0,0,0,0,"['GROSS INCOME DOES NOT MEET $2500', 'CALCULATED DOES NOT EQUAL DEED']"
124,0,0,52.34,0,0,0,0,0,0,26.56,0,0,0,0,0,0,0,"['GROSS INCOME DOES NOT MEET $2500', 'CALCULATED DOES NOT EQUAL DEED']"
208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['GROSS INCOME DOES NOT MEET $2500', 'APPLICATION NEVER FILED']"
212,0,0,5,0,0,5.714,0,0,0,0.5,0,0,0,11.214,0,0,0,"['GROSS INCOME DOES NOT MEET $2500', 'CALCULATED DOES NOT EQUAL DEED']"
227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['GROSS INCOME DOES NOT MEET $2500', 'APPLICATION NEVER FILED']"
228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['GROSS INCOME DOES NOT MEET $2500', 'APPLICATION NEVER FILED']"
277,0,0,67.376,0,0,0,0,0,0,0.5,0,0,0,67.876,0,0,0,"['GROSS INCOME DOES NOT MEET $2500', 'CALCULATED DOES NOT EQUAL DEED']"
323,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,"['GROSS INCOME DOES NOT MEET $2500', 'APPLICATION NEVER FILED']"
324,0,0,0,0,0,8.502,0,0,2,0,0,0,0,10.502,0,0,0,"['GROSS INCOME DOES NOT MEET $2500', 'CALCULATED DOES NOT EQUAL DEED']"
468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['GROSS INCOME DOES NOT MEET $2500', 'APPLICATION NEVER FILED']"
496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['GROSS INCOME DOES NOT MEET $2500', 'APPLICATION NEVER FILED']"
514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['GROSS INCOME DOES NOT MEET $2500', 'APPLICATION NEVER FILED']"
558,0,0,6.469,0,0,1.695,0,0,0,0.657,0,0,0,8.821,0,0,0,"['GROSS INCOME DOES NOT MEET $2500', 'CALCULATED DOES NOT EQUAL DEED']"
570,0,0,80,0,6,11,0,0,1,2,0,0,0,100,0,0,0,"['GROSS INCOME DOES NOT MEET $2500', 'CALCULATED DOES NOT EQUAL DEED']"
705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['GROSS INCOME DOES NOT MEET $2500', 'APPLICATION NEVER FILED']"
724,0,0,123.571,0,0,26.641,0,0,1,10.412,0,0,0,161.594,0,0,0,"['GROSS INCOME DOES NOT MEET $2500', 'CALCULATED DOES NOT EQUAL DEED']"
789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['GROSS INCOME DOES NOT MEET $2500', 'APPLICATION NEVER FILED']"
790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['GROSS INCOME DOES NOT MEET $2500', 'APPLICATION NEVER FILED']"
831,0,0,0,0,0,21.27,0,0,0,0,0,0,0,21.27,0,0,0,"['GROSS INCOME DOES NOT MEET $2500', 'CALCULATED DOES NOT EQUAL DEED']"
875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['GROSS INCOME DOES NOT MEET $2500', 'APPLICATION NEVER FILED']"
910,0,0,62.5,0,0,15,0,0,2.5,0,0,0,0,80,0,0,0,"['GROSS INCOME DOES NOT MEET $2500', 'CALCULATED DOES NOT EQUAL DEED']"
913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['GROSS INCOME DOES NOT MEET $2500', 'APPLICATION NEVER FILED']"
964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['GROSS INCOME DOES NOT MEET $2500', 'APPLICATION NEVER FILED']"
1006,0,0,4.047,0,0,5.03,0,0,0,1.2,0,0,0,10.277,0,0,0,"['GROSS INCOME DOES NOT MEET $2500', 'CALCULATED DOES NOT EQUAL DEED']"
1010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['GROSS INCOME DOES NOT MEET $2500', 'APPLICATION NEVER FILED']"
1020,0,0,0,0,0,12.741,0,0,0,0,0,0,0,12.741,0,0,0,"['GROSS INCOME DOES NOT MEET $2500', 'CALCULATED DOES NOT EQUAL DEED']"
1030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['GROSS INCOME DOES NOT MEET $2500', 'APPLICATION NEVER FILED']"
1050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['GROSS INCOME DOES NOT MEET $2500', 'APPLICATION NEVER FILED']"
1063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['GROSS INCOME DOES NOT MEET $2500', 'APPLICATION NEVER FILED']"
1077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['GROSS INCOME DOES NOT MEET $2500', 'APPLICATION NEVER FILED']"
1086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['GROSS INCOME DOES NOT MEET $2500', 'APPLICATION NEVER FILED']"
1106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['GROSS INCOME DOES NOT MEET $2500', 'APPLICATION NEVER FILED']"
1121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['GROSS INCOME DOES NOT MEET $2500', 'APPLICATION NEVER FILED']"
1132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['GROSS INCOME DOES NOT MEET $2500', 'APPLICATION NEVER FILED']"
1145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['GROSS INCOME DOES NOT MEET $2500', 'APPLICATION NEVER FILED']"
1149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['GROSS INCOME DOES NOT MEET $2500', 'APPLICATION NEVER FILED']"
1216,0,0,0,0,3.66,0,0,0,1.002,0,0,0,0,4.662,2565,0,0,['CALCULATED DOES NOT EQUAL DEED']
1268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['GROSS INCOME DOES NOT MEET $2500', 'APPLICATION NEVER FILED']"
1316,0,0,30,0,0,0,9,0,0,0,0,0,0,39,0,0,0,"['GROSS INCOME DOES NOT MEET $2500', 'CALCULATED DOES NOT EQUAL DEED']"
1342,0,0,0,0,0,14.403,0,0,0,0,0,0,0,14.403,0,0,0,"['GROSS INCOME DOES NOT MEET $2500', 'CALCULATED DOES NOT EQUAL DEED']"
1345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['GROSS INCOME DOES NOT MEET $2500', 'APPLICATION NEVER FILED']"
1379,0,0,150,0,0,10.42,0,0,1.62,15.53,0,0,0,177.57,0,0,0,"['GROSS INCOME DOES NOT MEET $2500', 'CALCULATED DOES NOT EQUAL DEED']"
1383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['GROSS INCOME DOES NOT MEET $2500', 'APPLICATION NEVER FILED']"
1386,0,0,0,0,0,29.682,0,2.776,1,2.092,0,0,0,35.55,0,0,0,"['GROSS INCOME DOES NOT MEET $2500', 'CALCULATED DOES NOT EQUAL DEED']"
1435,0,0,0,0,0,0,20.618,0,0,0,0,0,0,20.618,0,0,0,"['GROSS INCOME DOES NOT MEET $2500', 'CALCULATED DOES NOT EQUAL DEED']"
1437,0,0,0,165.522,0,0,0,0,0,5.521,0,0,0,171.043,0,0,0,"['GROSS INCOME DOES NOT MEET $2500', 'CALCULATED DOES NOT EQUAL DEED']"
1459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['GROSS INCOME DOES NOT MEET $2500', 'APPLICATION NEVER FILED']"
1541,0,0,32.53,0,0,5.69,0,0,0,0,0,1.25,0,39.47,0,0,0,"['GROSS INCOME DOES NOT MEET $2500', 'CALCULATED DOES NOT EQUAL DEED']"
1607,0,0,20,0,0,0,0,0,2,7,0,0,0,0,0,0,0,"['GROSS INCOME DOES NOT MEET $2500', 'CALCULATED DOES NOT EQUAL DEED']"
1613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['GROSS INCOME DOES NOT MEET $2500', 'APPLICATION NEVER FILED']"
1763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['GROSS INCOME DOES NOT MEET $2500', 'APPLICATION NEVER FILED']"
1799,0,0,60.458,0,0,0.347,0,0,0,3.366,0,0,0,64.171,0,0,0,"['GROSS INCOME DOES NOT MEET $2500', 'CALCULATED DOES NOT EQUAL DEED']"
1809,0,0,53.035,0,0,0,0,0,0,0,0,0,0,53.035,0,0,0,"['GROSS INCOME DOES NOT MEET $2500', 'CALCULATED DOES NOT EQUAL DEED']"
1812,0,0,9.68,0,0,0,0,0,0,0,0,0,0,0,1161.6,0,0,"['GROSS INCOME DOES NOT MEET $2500', 'CALCULATED DOES NOT EQUAL DEED']"
1919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['GROSS INCOME DOES NOT MEET $2500', 'APPLICATION NEVER FILED']"
1934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['GROSS INCOME DOES NOT MEET $2500', 'APPLICATION NEVER FILED']"
1964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['GROSS INCOME DOES NOT MEET $2500', 'APPLICATION NEVER FILED']"
2026,0,0,0,0,2.192,0,12.586,0,1,2.922,0,0,0,0,0,0,0,"['GROSS INCOME DOES NOT MEET $2500', 'CALCULATED DOES NOT EQUAL DEED']"
2035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['GROSS INCOME DOES NOT MEET $2500', 'APPLICATION NEVER FILED']"
2155,0,0,65.678,0,0,0,0,0,4.5,4.5,0,0,0,74.678,0,0,0,"['GROSS INCOME DOES NOT MEET $2500', 'CALCULATED DOES NOT EQUAL DEED']"
2224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['GROSS INCOME DOES NOT MEET $2500', 'APPLICATION NEVER FILED']"
2254,0,0,70,0,0,10,0,0,0,1.074,0,0,0,0,0,0,0,"['GROSS INCOME DOES NOT MEET $2500', 'CALCULATED DOES NOT EQUAL DEED']"
2273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['GROSS INCOME DOES NOT MEET $2500', 'APPLICATION NEVER FILED']"
2329,0,0,3,0,0,10,0,0,3,0,0,4,0,0,0,0,0,"['GROSS INCOME DOES NOT MEET $2500', 'CALCULATED DOES NOT EQUAL DEED']"
2345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['GROSS INCOME DOES NOT MEET $2500', 'APPLICATION NEVER FILED']"
2368,0,0,0,0,0,0,0,0,3.528,0,0,0,0,3.528,0,0,0,"['GROSS INCOME DOES NOT MEET $2500', 'CALCULATED DOES NOT EQUAL DEED']"
2384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['GROSS INCOME DOES NOT MEET $2500', 'APPLICATION NEVER FILED']"
2401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['GROSS INCOME DOES NOT MEET $2500', 'APPLICATION NEVER FILED']"
2450,0,0,0,6.25,1,0,0,0,2,4.21,0,0,0,0,0,0,0,"['GROSS INCOME DOES NOT MEET $2500', 'CALCULATED DOES NOT EQUAL DEED']"
2459,0,0,80.1,0,0,0,0,0,0,2.064,8.29,0,0,90.454,0,0,0,"['GROSS INCOME DOES NOT MEET $2500', 'CALCULATED DOES NOT EQUAL DEED']"
2660,0,0,99,0,0,0,0,0,0,0,0,0,0,99,0,0,0,"['GROSS INCOME DOES NOT MEET $2500', 'CALCULATED DOES NOT EQUAL DEED']"
2706,0,0,0,7.44,0,0,0,0,0,0,0,0,0,7.44,0,0,0,"['GROSS INCOME DOES NOT MEET $2500', 'CALCULATED DOES NOT EQUAL DEED']"
2719,0,0,6,0,0,8.694,0,0,0,0,0,0,0,14.694,0,0,0,"['GROSS INCOME DOES NOT MEET $2500', 'CALCULATED DOES NOT EQUAL DEED']"
2723,0,0,16.749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['GROSS INCOME DOES NOT MEET $2500', 'CALCULATED DOES NOT EQUAL DEED']"
2814,0,0,3.6,0,0,6.719,0,0,2.5,0.188,0,0,0,13.007,0,0,0,"['GROSS INCOME DOES NOT MEET $2500', 'CALCULATED DOES NOT EQUAL DEED']"
3030,0,0,10,0,0,14,0,0,1,1.27,0,0,0,26.27,0,0,0,"['GROSS INCOME DOES NOT MEET $2500', 'CALCULATED DOES NOT EQUAL DEED']"
3132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['GROSS INCOME DOES NOT MEET $2500', 'APPLICATION NEVER FILED']"
