PARID,AGAPPL,ACRES
"G25000409560000","999999","20"
"E18000274760000","304","40"
"J37000590280000","1514","49.25"
"K40000638520000","3002","75.198"
"F20000320680000","1787","98.795"
"F20000325560000","1787","160"
"H28000455320000","1645","19.57"
"H28000455360000","1645","75.212"
"N46000754360000","1729","102.854"
"K40000630520000","360","55.74"
"E18000283200000","1784","119"
"E18000283280000","1784","10.93"
"K40000635440000","2240","156.952"
"H28000447000000","250","13.166"
"M44000733440000","2141","73.866"
"O49000781720000","1184","40"
"L41000656560200","2852","7.044"
"C13000142040200","37","35.505"
"G25000392960000","252","27.547"
"H28000446960000","250","30.533"
"C13000133400000","1039","80"
"E18000260520000","734","25.026"
"G25000399600000","670","20"
"G25000399640000","670","9.5"
"G25000399680000","670","40"
"G25000399720000","670","60"
"D17000211960000","2","15"
"O49000793640000","3014","169.78"
"O49000793720000","1181","70"
"B09000098960000","255","87.37"
"B11000117760000","255","0.261"
"B09000098640100","299","28.144"
"K40000620000000","1432","75.8"
"M45000734360000","2667","30.38"
"M45000734320000","1229","70"
"J37000589320000","1416","24.643"
"I34000546640100","2749","13.539"
"N47000771280000","1676","19.758"
"K40000629360000","1542","80"
"L41000652680000","1538","40"
"N46000757960000","1816","10.2"
"O49000785320000","524","36.5"
"O49000785400000","524","5.82"
"M44000700480000","2634","84.055"
"B10000108120000","1478","25.987"
"B10000108120300","1478","20.284"
"O49000797920000","2352","15.16"
"O49000797960000","2352","50"
"O49000798000000","2352","52.659"
"K40000635120000","2517","77.75"
"J37000581320000","678","158.866"
"J37000581400000","678","20.151"
"J37000581480000","678","22"
"J37000581520000","678","83.961"
"J37000581440000","2901","20.58"
"L41000657040201","2335","18.68"
"N46000743080000","1958","78.45"
"M44000720720100","975","24.99"
"F20000309200000","557","41.877"
"M44000717280000","656","15.44"
"N46000754520300","223","130.537"
"L41000648880300","314","55.857"
"J37000579960100","1369","34.855"
"F20000333680200","42","9"
"C13000129760000","1744","52.508"
"J36000568840000","2164","28.293"
"A02000013680000","999999","89.055"
"A02000013720000","999999","56.955"
"J38000606720000","999999","60"
"J38000606760000","999999","15.321"
"L41000647480400","1735","55.155"
"L41000647920000","467","33.206"
"K40000632120000","467","55.77"
"H29000465480000","506","33.98"
"E18000283570200","1960","4.86"
"B09000086480000","555","20.988"
"O49000792000000","1148","40.44"
"O49000792040000","1148","73.97"
